,Description,Length
OG4965,D-inositol-3-phosphate glycosyltransferase,360
OG4966,hypothetical protein,318
OG4967,GDP-L-fucose synthase,349
OG4968,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,240
OG4969,hypothetical protein,273
OG4970,hypothetical protein,320
OG4971,hypothetical protein,328
OG4972,hypothetical protein,308
OG4973,hypothetical protein,133
OG4974,hypothetical protein,272
OG4975,Glycosyltransferase Gtf1,412
OG4976,hypothetical protein,450
OG4977,hypothetical protein,680
OG4978,Vitamin B12 import ATP-binding protein BtuD,393
OG4979,hypothetical protein,167
OG4980,hypothetical protein,89
OG4981,hypothetical protein,443
OG4982,hypothetical protein,101
OG4983,hypothetical protein,162
OG4984,hypothetical protein,397
OG4985,hypothetical protein,272
OG4986,hypothetical protein,69
OG4987,hypothetical protein,161
OG4988,hypothetical protein,159
OG4989,High-affinity gluconate transporter,222
OG4990,Gnt-II system L-idonate transporter,234
OG4991,hypothetical protein,87
OG4992,Phosphoglycolate phosphatase,109
OG4993,hypothetical protein,100
OG4994,hypothetical protein,191
OG4995,hypothetical protein,317
OG4996,hypothetical protein,217
OG4997,hypothetical protein,117
OG4998,Cystathionine beta-lyase PatB,385
OG4999,hypothetical protein,407
OG5000,hypothetical protein,391
OG5001,UDP-glucose 4-epimerase,339
OG5002,hypothetical protein,222
OG5003,hypothetical protein,362
OG5004,hypothetical protein,179
OG5005,hypothetical protein,241
OG5006,hypothetical protein,285
OG5007,hypothetical protein,300
OG5008,hypothetical protein,149
OG5009,hypothetical protein,105
OG5010,hypothetical protein,200
OG5011,hypothetical protein,70
OG5012,Tyrosine recombinase XerD,397
OG5013,Multidrug resistance ABC transporter ATP-binding and permease protein,190
OG5014,hypothetical protein,52
OG5015,hypothetical protein,153
OG5016,hypothetical protein,151
OG5017,hypothetical protein,534
OG5018,hypothetical protein,89
OG5019,hypothetical protein,64
OG5020,hypothetical protein,178
OG5021,hypothetical protein,46
OG5022,Tyrosine recombinase XerS,357
OG5023,hypothetical protein,95
OG5024,hypothetical protein,128
OG5025,hypothetical protein,530
OG5026,hypothetical protein,117
OG5027,Sporulation initiation inhibitor protein Soj,258
OG5028,hypothetical protein,205
OG5029,hypothetical protein,263
OG5030,hypothetical protein,121
OG5031,hypothetical protein,132
OG5032,hypothetical protein,667
OG5033,Modification methylase FokI,699
OG5034,hypothetical protein,409
OG5035,hypothetical protein,645
OG5036,hypothetical protein,228
OG5037,hypothetical protein,112
OG5038,hypothetical protein,740
OG5039,hypothetical protein,950
OG5040,Single-stranded DNA-binding protein,139
OG5041,hypothetical protein,595
OG5042,hypothetical protein,112
OG5043,hypothetical protein,96
OG5044,hypothetical protein,166
OG5045,hypothetical protein,164
OG5046,hypothetical protein,1822
OG5047,hypothetical protein,305
OG5048,hypothetical protein,58
OG5049,ATP-dependent Clp protease ATP-binding subunit ClpE,604
OG5050,hypothetical protein,230
OG5051,DNA topoisomerase 3,614
OG5052,hypothetical protein,71
OG5053,ATP-dependent DNA helicase PcrA,608
OG5054,DNA replication and repair protein RecF,628
OG5055,hypothetical protein,596
OG5056,hypothetical protein,1012
OG5057,putative metal-dependent hydrolase YcfH,242
OG5058,7-cyano-7-deazaguanine synthase,421
OG5059,hypothetical protein,240
OG5060,hypothetical protein,618
OG5061,hypothetical protein,37
OG5062,hypothetical protein,697
OG5063,hypothetical protein,135
OG5064,hypothetical protein,286
OG5065,hypothetical protein,162
OG5066,hypothetical protein,324
OG5067,hypothetical protein,217
OG5068,hypothetical protein,313
OG5069,hypothetical protein,143
OG5070,hypothetical protein,107
OG5071,hypothetical protein,82
OG5072,hypothetical protein,417
OG5073,hypothetical protein,49
OG5074,hypothetical protein,95
OG5075,hypothetical protein,254
OG5076,hypothetical protein,142
OG5077,Type-1 restriction enzyme R protein,1029
OG5078,hypothetical protein,375
OG5079,hypothetical protein,110
OG5080,hypothetical protein,278
OG5081,hypothetical protein,436
OG5082,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI,267
OG5083,Sugar phosphatase YbiV,103
OG5084,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI,146
OG5085,hypothetical protein,176
OG5086,putative peptidoglycan glycosyltransferase FtsW,85
OG5087,hypothetical protein,346
OG5088,hypothetical protein,115
OG5089,hypothetical protein,133
OG5090,hypothetical protein,30
OG5091,hypothetical protein,279
OG5092,hypothetical protein,146
OG5093,hypothetical protein,248
OG5094,hypothetical protein,83
OG5095,Oligopeptide-binding protein OppA,194
OG5096,hypothetical protein,165
OG5097,DNA polymerase III PolC-type,299
OG5098,hypothetical protein,111
OG5099,hypothetical protein,213
OG5100,hypothetical protein,280
OG5101,hypothetical protein,222
OG5102,hypothetical protein,368
OG5103,putative BsuMI modification methylase subunit YdiO,346
OG5104,hypothetical protein,84
OG5105,hypothetical protein,110
OG5106,hypothetical protein,127
OG5107,hypothetical protein,120
OG5108,hypothetical protein,254
OG5109,Beta-xylosidase,152
OG5110,hypothetical protein,74
OG5111,hypothetical protein,268
OG5112,hypothetical protein,230
OG5113,hypothetical protein,187
OG5114,hypothetical protein,166
OG5115,hypothetical protein,65
OG5116,hypothetical protein,265
OG5117,hypothetical protein,229
OG5118,hypothetical protein,457
OG5119,hypothetical protein,64
OG5120,hypothetical protein,351
OG5121,hypothetical protein,70
OG5122,IS982 family transposase ISLll1,203
OG5123,hypothetical protein,193
OG5124,hypothetical protein,77
OG5125,putative amino acid permease YvbW,88
OG5126,hypothetical protein,48
OG5127,HTH-type transcriptional regulator CatM,74
OG5128,hypothetical protein,42
OG5129,hypothetical protein,310
OG5130,hypothetical protein,72
OG5131,hypothetical protein,107
OG5132,hypothetical protein,159
OG5133,hypothetical protein,118
OG5134,hypothetical protein,304
OG5135,hypothetical protein,191
OG5136,IS110 family transposase ISCsa3,410
OG5137,hypothetical protein,224
OG5138,hypothetical protein,185
OG5139,hypothetical protein,80
OG5140,hypothetical protein,137
OG5141,hypothetical protein,704
OG5142,hypothetical protein,440
OG5143,hypothetical protein,793
OG5144,hypothetical protein,528
OG5145,hypothetical protein,579
OG5146,hypothetical protein,57
OG5147,hypothetical protein,183
OG5148,hypothetical protein,83
OG5149,hypothetical protein,594
OG5150,hypothetical protein,67
OG5151,DNA topoisomerase 3,598
OG5152,hypothetical protein,231
OG5153,ATP-dependent Clp protease ATP-binding subunit ClpC,599
OG5154,hypothetical protein,117
OG5155,hypothetical protein,294
OG5156,DNA topoisomerase 1,220
OG5157,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,141
OG5158,hypothetical protein,237
OG5159,hypothetical protein,685
OG5160,hypothetical protein,93
OG5161,Dehydrosqualene desaturase,496
OG5162,3-oxoacyl-[acyl-carrier-protein] reductase FabG,235
OG5163,hypothetical protein,203
OG5164,hypothetical protein,340
OG5165,hypothetical protein,609
OG5166,hypothetical protein,73
OG5167,hypothetical protein,235
OG5168,Dehydrosqualene desaturase,488
OG5169,4-chlorobenzoyl coenzyme A dehalogenase-2,238
OG5170,hypothetical protein,203
OG5171,6-methylpretetramide 4-monooxygenase,398
OG5172,"GDP-mannose 4,6-dehydratase",307
OG5173,4'-demethylrebeccamycin synthase,440
OG5174,hypothetical protein,109
OG5175,Vitamin B12 import ATP-binding protein BtuD,319
OG5176,hypothetical protein,247
OG5177,D-ribitol-5-phosphate phosphatase,202
OG5178,IS21 family transposase IS712,120
OG5179,IS21 family transposase IS712,113
OG5180,hypothetical protein,101
OG5181,hypothetical protein,1286
OG5182,hypothetical protein,202
OG5183,hypothetical protein,83
OG5184,hypothetical protein,113
OG5185,hypothetical protein,605
OG5186,Single-stranded DNA-binding protein,136
OG5187,hypothetical protein,926
OG5188,hypothetical protein,737
OG5189,hypothetical protein,73
OG5190,hypothetical protein,210
OG5191,hypothetical protein,113
OG5192,hypothetical protein,203
OG5193,hypothetical protein,643
OG5194,hypothetical protein,409
OG5195,hypothetical protein,280
OG5196,hypothetical protein,202
OG5197,hypothetical protein,255
OG5198,hypothetical protein,281
OG5199,hypothetical protein,102
OG5200,hypothetical protein,440
OG5201,Modification methylase MboII,271
OG5202,hypothetical protein,96
OG5203,IS3 family transposase IS1069,70
OG5204,hypothetical protein,48
OG5205,hypothetical protein,232
OG5206,hypothetical protein,164
OG5207,hypothetical protein,141
OG5208,hypothetical protein,66
OG5209,hypothetical protein,110
OG5210,hypothetical protein,174
OG5211,hypothetical protein,520
OG5212,hypothetical protein,50
OG5213,hypothetical protein,97
OG5214,hypothetical protein,86
OG5215,ISL3 family transposase IS1193,178
OG5216,ISL3 family transposase ISSth8,250
OG5217,D-inositol-3-phosphate glycosyltransferase,368
OG5218,hypothetical protein,484
OG5219,hypothetical protein,413
OG5220,hypothetical protein,309
OG5221,Putative glycosyltransferase EpsF,370
OG5222,Exopolysaccharide phosphotransferase CpsY,329
OG5223,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,326
OG5224,hypothetical protein,135
OG5225,D-inositol-3-phosphate glycosyltransferase,381
OG5226,hypothetical protein,390
OG5227,putative sugar transferase EpsL,136
OG5228,hypothetical protein,97
OG5229,hypothetical protein,1297
OG5230,hypothetical protein,187
OG5231,ATP-dependent Clp protease proteolytic subunit,255
OG5232,hypothetical protein,72
OG5233,hypothetical protein,229
OG5234,IS982 family transposase ISLll1,126
OG5235,hypothetical protein,512
OG5236,hypothetical protein,134
OG5237,hypothetical protein,248
OG5238,hypothetical protein,37
OG5239,Neutral endopeptidase,511
OG5240,hypothetical protein,195
OG5241,hypothetical protein,48
OG5242,hypothetical protein,115
OG5243,hypothetical protein,82
OG5244,hypothetical protein,51
OG5245,hypothetical protein,49
OG5246,Multiple sugar-binding protein,208
OG5247,hypothetical protein,225
OG5248,hypothetical protein,97
OG5249,hypothetical protein,265
OG5250,hypothetical protein,320
OG5251,hypothetical protein,230
OG5252,hypothetical protein,175
OG5253,hypothetical protein,156
OG5254,hypothetical protein,160
OG5255,hypothetical protein,102
OG5256,hypothetical protein,180
OG5257,hypothetical protein,67
OG5258,hypothetical protein,162
OG5259,hypothetical protein,96
OG5260,hypothetical protein,75
OG5261,DNA polymerase III PolC-type,1339
OG5262,hypothetical protein,142
OG5263,hypothetical protein,119
OG5264,hypothetical protein,348
OG5265,Autolysin,495
OG5266,Exodeoxyribonuclease 7 small subunit,75
OG5267,hypothetical protein,194
OG5268,Exodeoxyribonuclease 7 large subunit,441
OG5269,hypothetical protein,158
OG5270,hypothetical protein,44
OG5271,DNA-binding protein HU,96
OG5272,hypothetical protein,435
OG5273,hypothetical protein,212
OG5274,hypothetical protein,120
OG5275,hypothetical protein,418
OG5276,ATP-dependent DNA helicase PcrA,750
OG5277,hypothetical protein,106
OG5278,hypothetical protein,102
OG5279,hypothetical protein,509
OG5280,hypothetical protein,57
OG5281,hypothetical protein,322
OG5282,hypothetical protein,245
OG5283,hypothetical protein,244
OG5284,hypothetical protein,267
OG5285,hypothetical protein,238
OG5286,hypothetical protein,388
OG5287,hypothetical protein,1635
OG5288,hypothetical protein,232
OG5289,hypothetical protein,395
OG5290,hypothetical protein,179
OG5291,hypothetical protein,53
OG5292,ATP-dependent Clp protease ATP-binding subunit ClpX,538
OG5293,hypothetical protein,604
OG5294,hypothetical protein,276
OG5295,hypothetical protein,370
OG5296,hypothetical protein,441
OG5297,RecBCD enzyme subunit RecB,588
OG5298,hypothetical protein,311
OG5299,hypothetical protein,691
OG5300,hypothetical protein,76
OG5301,hypothetical protein,143
OG5302,hypothetical protein,88
OG5303,hypothetical protein,432
OG5304,hypothetical protein,175
OG5305,hypothetical protein,67
OG5306,hypothetical protein,601
OG5307,Glycosyltransferase Gtf1,1096
OG5308,hypothetical protein,304
OG5309,hypothetical protein,584
OG5310,hypothetical protein,117
OG5311,"UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase",273
OG5312,Exopolysaccharide phosphotransferase CpsY,333
OG5313,O-antigen biosynthesis glycosyltransferase WbnK,324
OG5314,hypothetical protein,279
OG5315,D-inositol-3-phosphate glycosyltransferase,357
OG5316,hypothetical protein,585
OG5317,hypothetical protein,463
OG5318,hypothetical protein,480
OG5319,hypothetical protein,176
OG5320,hypothetical protein,116
OG5321,hypothetical protein,75
OG5322,hypothetical protein,95
OG5323,hypothetical protein,496
OG5324,hypothetical protein,96
OG5325,hypothetical protein,118
OG5326,hypothetical protein,50
OG5327,hypothetical protein,220
OG5328,hypothetical protein,370
OG5329,hypothetical protein,734
OG5330,hypothetical protein,347
OG5331,hypothetical protein,79
OG5332,hypothetical protein,358
OG5333,hypothetical protein,1131
OG5334,hypothetical protein,136
OG5335,hypothetical protein,387
OG5336,hypothetical protein,249
OG5337,hypothetical protein,143
OG5338,hypothetical protein,369
OG5339,hypothetical protein,90
OG5340,hypothetical protein,176
OG5341,hypothetical protein,131
OG5342,hypothetical protein,477
OG5343,hypothetical protein,92
OG5344,Nitrogenase iron protein,269
OG5345,hypothetical protein,155
OG5346,hypothetical protein,61
OG5347,hypothetical protein,103
OG5348,hypothetical protein,35
OG5349,hypothetical protein,128
OG5350,hypothetical protein,128
OG5351,hypothetical protein,129
OG5352,hypothetical protein,42
OG5353,hypothetical protein,55
OG5354,hypothetical protein,223
OG5355,hypothetical protein,78
OG5356,hypothetical protein,111
OG5357,hypothetical protein,64
OG5358,hypothetical protein,131
OG5359,Deoxyuridine 5'-triphosphate nucleotidohydrolase,139
OG5360,hypothetical protein,52
OG5361,hypothetical protein,132
OG5362,hypothetical protein,87
OG5363,hypothetical protein,165
OG5364,hypothetical protein,93
OG5365,hypothetical protein,106
OG5366,hypothetical protein,139
OG5367,hypothetical protein,78
OG5368,Uronate isomerase,108
OG5369,hypothetical protein,55
OG5370,Multidrug resistance ABC transporter ATP-binding and permease protein,62
OG5371,hypothetical protein,88
OG5372,Neopullulanase,263
OG5373,hypothetical protein,64
OG5374,Amylopullulanase,260
OG5375,Glycogen synthase,91
OG5376,Branched-chain amino acid transport system 2 carrier protein,65
OG5377,hypothetical protein,106
OG5378,Glutamate decarboxylase,44
OG5379,PTS system beta-glucoside-specific EIIBCA component,107
OG5380,hypothetical protein,63
OG5381,hypothetical protein,390
OG5382,hypothetical protein,193
OG5383,Galactokinase,116
OG5384,hypothetical protein,78
OG5385,Tungstate uptake system ATP-binding protein TupC,83
OG5386,UvrABC system protein A,413
OG5387,Calcium-transporting ATPase 1,448
OG5388,Calcium-transporting ATPase 1,470
OG5389,2-isopropylmalate synthase,105
OG5390,Histidinol dehydrogenase,165
OG5391,hypothetical protein,114
OG5392,Manganese transport system membrane protein MntB,101
OG5393,Deoxyuridine 5'-triphosphate nucleotidohydrolase,116
OG5394,IS30 family transposase ISSpn8,311
OG5395,hypothetical protein,233
OG5396,hypothetical protein,242
OG5397,hypothetical protein,253
OG5398,hypothetical protein,67
OG5399,hypothetical protein,112
OG5400,Response regulator protein GraR,85
OG5401,"PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM",44
OG5402,hypothetical protein,641
OG5403,hypothetical protein,45
OG5404,hypothetical protein,41
OG5405,hypothetical protein,170
OG5406,hypothetical protein,57
OG5407,hypothetical protein,270
OG5408,IS3 family transposase IS981,70
OG5409,hypothetical protein,76
OG5410,hypothetical protein,37
OG5411,hypothetical protein,205
OG5412,hypothetical protein,1077
OG5413,hypothetical protein,68
OG5414,hypothetical protein,47
OG5415,hypothetical protein,96
OG5416,hypothetical protein,53
OG5417,hypothetical protein,184
OG5418,hypothetical protein,509
OG5419,UDP-glucose 6-dehydrogenase,276
OG5420,hypothetical protein,404
OG5421,hypothetical protein,258
OG5422,DNA polymerase IV,358
OG5423,hypothetical protein,134
OG5424,Protein RecA,346
OG5425,hypothetical protein,594
OG5426,hypothetical protein,81
OG5427,hypothetical protein,83
OG5428,Tyrosine recombinase XerC,417
OG5429,hypothetical protein,277
OG5430,hypothetical protein,111
OG5431,hypothetical protein,102
OG5432,hypothetical protein,1190
OG5433,hypothetical protein,91
OG5434,hypothetical protein,127
OG5435,hypothetical protein,64
OG5436,hypothetical protein,61
OG5437,hypothetical protein,36
OG5438,hypothetical protein,110
OG5439,hypothetical protein,83
OG5440,hypothetical protein,72
OG5441,hypothetical protein,629
OG5442,hypothetical protein,237
OG5443,hypothetical protein,191
OG5444,Acetylglutamate kinase,72
OG5445,hypothetical protein,85
OG5446,Vitamin B12 import ATP-binding protein BtuD,458
OG5447,Nisin leader peptide-processing serine protease NisP,449
OG5448,Nisin immunity protein,245
OG5449,Nisin biosynthesis protein NisC,226
OG5450,hypothetical protein,370
OG5451,hypothetical protein,821
OG5452,hypothetical protein,103
OG5453,hypothetical protein,265
OG5454,Tyrosine recombinase XerS,356
OG5455,hypothetical protein,31
OG5456,hypothetical protein,95
OG5457,hypothetical protein,173
OG5458,hypothetical protein,39
OG5459,hypothetical protein,192
OG5460,Biofilm regulatory protein A,312
OG5461,Capsular polysaccharide type 8 biosynthesis protein cap8A,221
OG5462,Tyrosine-protein kinase YwqD,227
OG5463,Tyrosine-protein phosphatase YwqE,244
OG5464,UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase,211
OG5465,hypothetical protein,164
OG5466,hypothetical protein,245
OG5467,hypothetical protein,362
OG5468,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,312
OG5469,General stress protein 30,364
OG5470,hypothetical protein,456
OG5471,hypothetical protein,435
OG5472,DNA-directed RNA polymerase subunit gamma,2382
OG5473,hypothetical protein,84
OG5474,hypothetical protein,60
OG5475,hypothetical protein,151
OG5476,DNA polymerase IV,487
OG5477,hypothetical protein,118
OG5478,hypothetical protein,220
OG5479,hypothetical protein,200
OG5480,hypothetical protein,535
OG5481,hypothetical protein,461
OG5482,hypothetical protein,1070
OG5483,hypothetical protein,595
OG5484,hypothetical protein,475
OG5485,hypothetical protein,319
OG5486,hypothetical protein,279
OG5487,hypothetical protein,577
OG5488,hypothetical protein,268
OG5489,hypothetical protein,662
OG5490,ABC transporter ATP-binding protein YxdL,100
OG5491,hypothetical protein,39
OG5492,hypothetical protein,313
OG5493,hypothetical protein,257
OG5494,Pyruvate oxidase,132
OG5495,PhoH-like protein,169
OG5496,Putative glycosyltransferase CsbB,309
OG5497,hypothetical protein,288
OG5498,DNA-invertase hin,67
OG5499,DNA-invertase hin,67
OG5500,hypothetical protein,233
OG5501,hypothetical protein,62
OG5502,hypothetical protein,123
OG5503,hypothetical protein,114
OG5504,hypothetical protein,69
OG5505,hypothetical protein,133
OG5506,Peptide transporter CstA,263
OG5507,Multidrug export protein EmrB,237
OG5508,hypothetical protein,125
OG5509,hypothetical protein,271
OG5510,hypothetical protein,263
OG5511,hypothetical protein,150
OG5512,"Beta-1,6-galactofuranosyltransferase WbbI",362
OG5513,UDP-galactopyranose mutase,165
OG5514,hypothetical protein,176
OG5515,hypothetical protein,124
OG5516,hypothetical protein,38
OG5517,Oligopeptide-binding protein OppA,235
OG5518,hypothetical protein,200
OG5519,hypothetical protein,95
OG5520,hypothetical protein,55
OG5521,IS3 family transposase IS981,86
OG5522,IS3 family transposase IS981,279
OG5523,hypothetical protein,44
OG5524,IS3 family transposase IS981,279
OG5525,hypothetical protein,50
OG5526,hypothetical protein,415
OG5527,IS256 family transposase IS905,152
OG5528,IS256 family transposase IS905,166
OG5529,IS3 family transposase IS981,136
OG5530,hypothetical protein,160
OG5531,IS3 family transposase IS981,86
OG5532,hypothetical protein,58
OG5533,hypothetical protein,49
OG5534,hypothetical protein,67
OG5535,hypothetical protein,302
OG5536,hypothetical protein,386
OG5537,IS3 family transposase IS981,279
OG5538,hypothetical protein,165
OG5539,hypothetical protein,74
OG5540,hypothetical protein,269
OG5541,hypothetical protein,83
OG5542,hypothetical protein,239
OG5543,hypothetical protein,167
OG5544,hypothetical protein,182
OG5545,hypothetical protein,112
OG5546,hypothetical protein,54
OG5547,hypothetical protein,176
OG5548,hypothetical protein,52
OG5549,hypothetical protein,90
OG5550,hypothetical protein,497
OG5551,2-dehydro-3-deoxygluconokinase,87
OG5552,hypothetical protein,90
OG5553,hypothetical protein,133
OG5554,IS3 family transposase IS981,86
OG5555,IS256 family transposase IS905,166
OG5556,IS256 family transposase IS905,201
OG5557,hypothetical protein,104
OG5558,6-phospho-beta-glucosidase GmuD,225
OG5559,hypothetical protein,164
OG5560,hypothetical protein,62
OG5561,IS256 family transposase IS905,166
OG5562,IS256 family transposase IS905,201
OG5563,Transcription antiterminator LicT,170
OG5564,hypothetical protein,176
OG5565,hypothetical protein,81
OG5566,hypothetical protein,171
OG5567,IS3 family transposase IS981,279
OG5568,IS3 family transposase IS981,86
OG5569,hypothetical protein,116
OG5570,hypothetical protein,107
OG5571,hypothetical protein,567
OG5572,Delta(1)-pyrroline-2-carboxylate reductase,318
OG5573,putative isomerase YddE,260
OG5574,Histidinol-phosphate aminotransferase,470
OG5575,hypothetical protein,556
OG5576,hypothetical protein,336
OG5577,IS256 family transposase IS905,166
OG5578,IS256 family transposase IS905,201
OG5579,IS3 family transposase IS981,86
OG5580,HTH-type transcriptional regulator AscG,159
OG5581,HTH-type transcriptional regulator DegA,174
OG5582,hypothetical protein,86
OG5583,hypothetical protein,81
OG5584,IS3 family transposase IS981,86
OG5585,IS3 family transposase IS981,204
OG5586,IS3 family transposase ISSag5,97
OG5587,hypothetical protein,115
OG5588,3-isopropylmalate dehydrogenase,57
OG5589,2-isopropylmalate synthase,185
OG5590,hypothetical protein,87
OG5591,hypothetical protein,113
OG5592,hypothetical protein,53
OG5593,hypothetical protein,156
OG5594,hypothetical protein,212
OG5595,hypothetical protein,218
OG5596,hypothetical protein,173
OG5597,hypothetical protein,105
OG5598,hypothetical protein,1243
OG5599,hypothetical protein,340
OG5600,Chaperone protein DnaJ,145
OG5601,hypothetical protein,77
OG5602,hypothetical protein,81
OG5603,hypothetical protein,47
OG5604,hypothetical protein,308
OG5605,hypothetical protein,126
OG5606,UDP-glucose 6-dehydrogenase,389
OG5607,hypothetical protein,112
OG5608,IS256 family transposase IS905,135
OG5609,IS256 family transposase IS905,267
OG5610,IS3 family transposase IS981,86
OG5611,IS256 family transposase IS905,201
OG5612,IS256 family transposase IS905,166
OG5613,Phosphoglycolate phosphatase,78
OG5614,hypothetical protein,61
OG5615,hypothetical protein,74
OG5616,3-ketoacyl-CoA thiolase,272
OG5617,Oligopeptide transport ATP-binding protein OppF,244
OG5618,hypothetical protein,1617
OG5619,hypothetical protein,314
OG5620,hypothetical protein,215
OG5621,IS256 family transposase IS905,166
OG5622,IS256 family transposase IS905,201
OG5623,hypothetical protein,94
OG5624,hypothetical protein,61
OG5625,hypothetical protein,102
OG5626,hypothetical protein,59
OG5627,hypothetical protein,57
OG5628,hypothetical protein,47
OG5629,hypothetical protein,76
OG5630,hypothetical protein,185
OG5631,hypothetical protein,94
OG5632,hypothetical protein,74
OG5633,hypothetical protein,44
OG5634,Single-stranded DNA-binding protein DdrA,123
OG5635,hypothetical protein,78
OG5636,hypothetical protein,73
OG5637,hypothetical protein,165
OG5638,IS256 family transposase IS905,166
OG5639,IS256 family transposase IS905,201
OG5640,L-glyceraldehyde 3-phosphate reductase,59
OG5641,hypothetical protein,241
OG5642,hypothetical protein,440
OG5643,hypothetical protein,31
OG5644,hypothetical protein,244
OG5645,hypothetical protein,81
OG5646,hypothetical protein,354
OG5647,hypothetical protein,56
OG5648,hypothetical protein,104
OG5649,hypothetical protein,200
OG5650,hypothetical protein,67
OG5651,hypothetical protein,151
OG5652,hypothetical protein,231
OG5653,hypothetical protein,86
OG5654,hypothetical protein,220
OG5655,hypothetical protein,42
OG5656,Type-1 restriction enzyme R protein,410
OG5657,hypothetical protein,50
OG5658,hypothetical protein,45
OG5659,hypothetical protein,472
OG5660,Teichoic acid poly(glycerol phosphate) polymerase,396
OG5661,hypothetical protein,396
OG5662,O-antigen biosynthesis glycosyltransferase WbnK,309
OG5663,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,316
OG5664,hypothetical protein,160
OG5665,hypothetical protein,147
OG5666,hypothetical protein,263
OG5667,hypothetical protein,98
OG5668,hypothetical protein,66
OG5669,hypothetical protein,106
OG5670,hypothetical protein,41
OG5671,hypothetical protein,176
OG5672,hypothetical protein,83
OG5673,hypothetical protein,87
OG5674,hypothetical protein,108
OG5675,hypothetical protein,75
OG5676,Vitamin B12 import ATP-binding protein BtuD,286
OG5677,Acetylornithine aminotransferase,101
OG5678,hypothetical protein,130
OG5679,Single-stranded DNA-binding protein,183
OG5680,hypothetical protein,163
OG5681,hypothetical protein,126
OG5682,hypothetical protein,65
OG5683,hypothetical protein,128
OG5684,hypothetical protein,87
OG5685,hypothetical protein,118
OG5686,hypothetical protein,53
OG5687,Oxidoreductase YdhF,182
OG5688,hypothetical protein,118
OG5689,hypothetical protein,126
OG5690,hypothetical protein,232
OG5691,Putative fructokinase,136
OG5692,hypothetical protein,96
OG5693,Inner membrane transporter YjeM,169
OG5694,Inner membrane transporter YjeM,197
OG5695,Adenosine deaminase,79
OG5696,hypothetical protein,56
OG5697,hypothetical protein,175
OG5698,hypothetical protein,100
OG5699,hypothetical protein,97
OG5700,hypothetical protein,103
OG5701,ATP-dependent Clp protease proteolytic subunit,259
OG5702,hypothetical protein,265
OG5703,hypothetical protein,131
OG5704,hypothetical protein,175
OG5705,hypothetical protein,45
OG5706,hypothetical protein,40
OG5707,hypothetical protein,220
OG5708,hypothetical protein,78
OG5709,hypothetical protein,234
OG5710,putative glycosyltransferase EpsJ,325
OG5711,General stress protein A,330
OG5712,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,318
OG5713,hypothetical protein,318
OG5714,hypothetical protein,294
OG5715,Teichuronic acid biosynthesis protein TuaB,478
OG5716,hypothetical protein,134
OG5717,hypothetical protein,91
OG5718,Coenzyme PQQ synthesis protein E,239
OG5719,hypothetical protein,56
OG5720,hypothetical protein,633
OG5721,hypothetical protein,88
OG5722,hypothetical protein,69
OG5723,hypothetical protein,241
OG5724,hypothetical protein,51
OG5725,Glycerol kinase,89
OG5726,Aerobic glycerol-3-phosphate dehydrogenase,259
OG5727,hypothetical protein,114
OG5728,hypothetical protein,77
OG5729,Glycogen synthase,120
OG5730,hypothetical protein,203
OG5731,PTS system beta-glucoside-specific EIIBCA component,92
OG5732,hypothetical protein,156
OG5733,hypothetical protein,66
OG5734,hypothetical protein,69
OG5735,"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating",166
OG5736,"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating",135
OG5737,hypothetical protein,193
OG5738,Ribosome-associated ATPase,62
OG5739,hypothetical protein,48
OG5740,hypothetical protein,35
OG5741,Zinc-transporting ATPase,100
OG5742,hypothetical protein,101
OG5743,Putative glycosyltransferase EpsF,373
OG5744,hypothetical protein,367
OG5745,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,291
OG5746,hypothetical protein,298
OG5747,Teichuronic acid biosynthesis protein TuaB,473
OG5748,UDP-glucose 6-dehydrogenase,388
OG5749,hypothetical protein,174
OG5750,hypothetical protein,74
OG5751,hypothetical protein,29
OG5752,hypothetical protein,66
OG5753,hypothetical protein,51
OG5754,hypothetical protein,181
OG5755,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE,88
OG5756,hypothetical protein,187
OG5757,hypothetical protein,56
OG5758,hypothetical protein,47
OG5759,hypothetical protein,264
OG5760,hypothetical protein,58
OG5761,hypothetical protein,87
OG5762,hypothetical protein,101
OG5763,hypothetical protein,78
OG5764,hypothetical protein,70
OG5765,HTH-type transcriptional activator RhaS,138
OG5766,hypothetical protein,160
OG5767,hypothetical protein,120
OG5768,hypothetical protein,85
OG5769,hypothetical protein,65
